"Id Empenho";"Código Empenho";"Código Categoria de Despesa";"Categoria de Despesa";"Código Grupo de Despesa";"Grupo de Despesa";"Código Modalidade de Aplicação";"Modalidade de Aplicação";"Código Elemento de Despesa";"Elemento de Despesa";"Código SubElemento de Despesa";"SubElemento de Despesa";"Descrição";"Quantidade";"Valor Unitário";"Valor Total";"Sequencial";"Valor Atual"
"562143084";"366003362102024NE000001";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"90";"APLICACOES DIRETAS";"30";"MATERIAL DE CONSUMO";"09";"MATERIAL FARMACOLOGICO";"DACARBAZINA/IRINOTECANO";"0,00";"0,00";"0,00";"1";"17500,00000"
"562145534";"170600000012024NE000019";"3";"DESPESAS CORRENTES";"2";"JUROS E ENCARGOS DA DIVIDA";"90";"APLICACOES DIRETAS";"22";"OUTROS ENCARGOS SOBRE A DIVIDA POR CONTRATO";"01";"ENCARGOS DA DIVIDA CONTRATUAL";"9999NAVAL1 - Encargos";"0,00";"0,00";"0,00";"1";"0,00"
"562147902";"164204162042024NE000004";"3";"DESPESAS CORRENTES";"1";"PESSOAL E ENCARGOS SOCIAIS";"90";"APLICACOES DIRETAS";"07";"CONTRIB. A ENTIDADES FECHADAS DE PREVIDENCIA";"06";"CONTRIBUICAO PATRONAL - FUNPRESP LEI 12618/12";"Despesas com Contribuição Patronal FUNPRESP), no exercício.";"0,00";"0,00";"0,00";"1";"85000,00000"
"562148811";"164204162042024NE000003";"3";"DESPESAS CORRENTES";"1";"PESSOAL E ENCARGOS SOCIAIS";"91";"APLICACOES DIRETAS - OPER.INTRA-ORCAMENTARIAS";"13";"OBRIGACOES PATRONAIS - OP.INTRA-ORCAMENTARIAS";"02";"CONTRIBUICOES PREVIDENCIARIAS - INSS";"Despesas com Contribuição Previdenciárias (INSS - Patronal), no exercício.";"0,00";"0,00";"0,00";"1";"190000,00000"
"562149752";"164204162042024NE000013";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"90";"APLICACOES DIRETAS";"08";"OUTROS BENEF.ASSIST. DO SERVIDOR E DO MILITAR";"01";"AUXILIO-FUNERAL ATIVO CIVIL";"Despesas com Auxílio Funeral, no exercício.";"0,00";"0,00";"0,00";"1";"980,00000"
"562149752";"164204162042024NE000013";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"90";"APLICACOES DIRETAS";"08";"OUTROS BENEF.ASSIST. DO SERVIDOR E DO MILITAR";"03";"AUXILIO-FUNERAL INATIVO CIVIL";"Despesas com Auxílio Funeral, no exercício.";"0,00";"0,00";"0,00";"2";"1500,00000"
"562149752";"164204162042024NE000013";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"90";"APLICACOES DIRETAS";"08";"OUTROS BENEF.ASSIST. DO SERVIDOR E DO MILITAR";"05";"AUXILIO NATALIDADE ATIVO CIVIL";"Despesas com Auxílio Natalidade, no exercício.";"0,00";"0,00";"0,00";"3";"788,00000"
"562150653";"164204162042024NE000011";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"90";"APLICACOES DIRETAS";"46";"AUXILIO-ALIMENTACAO";"01";"AUXILIO-ALIMENTACAO CIVIS";"Despesas com Auxílio Alimentação, no exercício.";"0,00";"0,00";"0,00";"1";"550123,00000"
"562152837";"164204162042024NE000001";"3";"DESPESAS CORRENTES";"1";"PESSOAL E ENCARGOS SOCIAIS";"91";"APLICACOES DIRETAS - OPER.INTRA-ORCAMENTARIAS";"13";"OBRIGACOES PATRONAIS - OP.INTRA-ORCAMENTARIAS";"03";"CONTRIBUICAO PATRONAL PARA O RPPS";"Despesas com PSS (Patronal), no exercício.";"0,00";"0,00";"0,00";"1";"2264197,00000"
"562153551";"164204162042024NE000010";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"90";"APLICACOES DIRETAS";"49";"AUXILIO-TRANSPORTE";"01";"AUXILIO-TRANSPORTE CIVIS";"Despesas com Auxílio Transporte, no exercício.";"0,00";"0,00";"0,00";"1";"68926,00000"
"562153897";"366003362102024NE000002";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"90";"APLICACOES DIRETAS";"30";"MATERIAL DE CONSUMO";"09";"MATERIAL FARMACOLOGICO";"METOTREXATO";"0,00";"0,00";"0,00";"1";"7540,00000"
"562157221";"164204162042024NE000009";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"90";"APLICACOES DIRETAS";"08";"OUTROS BENEF.ASSIST. DO SERVIDOR E DO MILITAR";"09";"AUXILIO-CRECHE CIVIL";"Despesas com Auxílio Creche, no exercício.";"0,00";"0,00";"0,00";"1";"10212,00000"
"562158259";"170600000012024NE000014";"4";"DESPESAS DE CAPITAL";"6";"AMORTIZACAO/REFINANCIAMENTO DA DIVIDA";"90";"APLICACOES DIRETAS";"76";"PRINCIPAL CORRIGIDO DA DIV.MOB.REFINANCIADO";"02";"VARIACAO CAMBIAL DIV.MOBILIARIA REFINANCIADA";"2855RDPMFE1 - Variação Cambial de Principal Negativa";"0,00";"0,00";"0,00";"1";"0,00"
"562159445";"158309264132024NE000007";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"91";"APLICACOES DIRETAS - OPER.INTRA-ORCAMENTARIAS";"39";"OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDIC";"90";"SERVICOS DE PUBLICIDADE LEGAL";"Item compra: 00001 - PUBLICAÇÃO LIVRO / MATÉRIA - PERIÓDICA / OFICIAL";"0,00";"0,00";"0,00";"1";"500,00000"
"562160534";"170010000012024NE000037";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"90";"APLICACOES DIRETAS";"36";"OUTROS SERVICOS DE TERCEIROS - PESSOA FISICA";"96";"OUTROS SERV.DE TERCEIROS PF- PAGTO ANTECIPADO";"Item compra: 00001 - Serviço";"0,00";"0,00";"0,00";"1";"9784,00000"
"562161474";"170010000012024NE000036";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"90";"APLICACOES DIRETAS";"33";"PASSAGENS E DESPESAS COM LOCOMOCAO";"96";"PASSAGENS E DESP.C/LOCOMOCAO-PAGTO ANTECIPADO";"Item compra: 00001 - Serviço";"0,00";"0,00";"0,00";"1";"14676,00000"
"562162438";"170010000012024NE000038";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"90";"APLICACOES DIRETAS";"39";"OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDIC";"96";"OUTROS SERV.DE TERCEIROS PJ- PAGTO ANTECIPADO";"Item compra: 00001 - Serviço";"0,00";"0,00";"0,00";"1";"39136,00000"
"562163176";"170010000012024NE000034";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"90";"APLICACOES DIRETAS";"14";"DIARIAS - PESSOAL CIVIL";"96";"DIARIAS - PAGTO ANTECIPADO";"Item compra: 00001 - Serviço";"0,00";"0,00";"0,00";"1";"48920,00000"
"562165063";"170010000012024NE000035";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"90";"APLICACOES DIRETAS";"30";"MATERIAL DE CONSUMO";"96";"MATERIAL DE CONSUMO - PAGTO ANTECIPADO";"Item compra: 00002 - Material";"0,00";"0,00";"0,00";"1";"4892,00000"
"562168048";"164204162042024NE000012";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"90";"APLICACOES DIRETAS";"93";"INDENIZACOES E RESTITUICOES";"08";"RESSARCIMENTO ASSISTENCIA MEDICA/ODONTOLOGICA";"Despesas com Ressarcimento Assistência Médica/Odontológica, no exercício.";"0,00";"0,00";"0,00";"1";"74078,00000"
"562175837";"158309264132024NE000008";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"90";"APLICACOES DIRETAS";"30";"MATERIAL DE CONSUMO";"01";"COMBUSTIVEIS E LUBRIFICANTES AUTOMOTIVOS";"Item compra: 00013 - GASOLINA COMUM";"0,00";"0,00";"0,00";"1";"2434,25000"
"562175837";"158309264132024NE000008";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"90";"APLICACOES DIRETAS";"30";"MATERIAL DE CONSUMO";"01";"COMBUSTIVEIS E LUBRIFICANTES AUTOMOTIVOS";"Item compra: 00008 - ÁLCOOL ANIDRO COMBUSTÍVEL";"0,00";"0,00";"0,00";"2";"954,00000"
"562175837";"158309264132024NE000008";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"90";"APLICACOES DIRETAS";"30";"MATERIAL DE CONSUMO";"01";"COMBUSTIVEIS E LUBRIFICANTES AUTOMOTIVOS";"Item compra: 00026 - ÓLEO DIESEL";"0,00";"0,00";"0,00";"3";"2028,00000"
"562183101";"158309264132024NE000012";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"90";"APLICACOES DIRETAS";"39";"OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDIC";"03";"COMISSOES E CORRETAGENS";"Item compra: 00004 - PRESTAÇAO DE SERVIÇOS DE AGENCIAMENTO DE VIAGENS";"0,00";"0,00";"0,00";"1";"1,60000"
"562191716";"158309264132024NE000010";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"90";"APLICACOES DIRETAS";"39";"OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDIC";"03";"COMISSOES E CORRETAGENS";"Item compra: 00004 - PRESTAÇAO DE SERVIÇOS DE AGENCIAMENTO DE VIAGENS";"0,00";"0,00";"0,00";"1";"0,40000"
"562198457";"250038000012024NE000003";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"90";"APLICACOES DIRETAS";"92";"DESPESAS DE EXERCICIOS ANTERIORES";"39";"OUTROS SERVICOS DE TERCEIROS - PJ";"Item compra: 00001 - Contratação com a Empresa Brasileira de Correios e Telégrafos  EBCT - para aprestação de serviços de Correio Nacional e Serviços Telemáticos para atenderàs necessidades de expedição de com comunicação escrita e eletrônica do SEMS/SE.";"0,00";"0,00";"0,00";"1";"1794,95000"
"562228335";"343002404012024NE000012";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"90";"APLICACOES DIRETAS";"30";"MATERIAL DE CONSUMO";"16";"MATERIAL DE EXPEDIENTE";"Item compra: 00001 - SERVIÇO DE ALMOXARIFADO VIRTUAL DE MATERIAL DE CONSUMO ADMINISTRATIVO - GERENCIAMENTO DE MEIOS LOGÍSTICOS";"0,00";"0,00";"0,00";"1";"1020,55000"
"562246823";"250038000012024NE000014";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"90";"APLICACOES DIRETAS";"39";"OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDIC";"78";"LIMPEZA E CONSERVACAO";"Item compra: 00001 - DESINSETIZAÇÃO , DESRATIZAÇÃO , DEDETIZAÇÃO";"0,00";"0,00";"0,00";"1";"4152,60000"
"562250539";"156746264032024NE000004";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"90";"APLICACOES DIRETAS";"36";"OUTROS SERVICOS DE TERCEIROS - PESSOA FISICA";"15";"LOCACAO DE IMOVEIS";"Item compra: 00001 - LOCAÇÃO DE IMÓVEL";"0,00";"0,00";"0,00";"1";"404,67000"
"562280578";"158309264132024NE000023";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"90";"APLICACOES DIRETAS";"39";"OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDIC";"69";"SEGUROS EM GERAL";"Item compra: 00001 - SEGURO / GARANTIA";"0,00";"0,00";"0,00";"1";"2160,00000"
