"Código Liquidação";"Código Liquidação Resumido";"Data Emissão";"Código Tipo Documento";"Tipo Documento";"Código Órgão Superior";"Órgão Superior";"Código Órgão";"Órgão";"Código Unidade Gestora";"Unidade Gestora";"Código Gestão";"Gestão";"Código Favorecido";"Favorecido";"Observação";"Código Categoria de Despesa";"Categoria de Despesa";"Código Grupo de Despesa";"Grupo de Despesa";"Código Modalidade de Aplicação";"Modalidade de Aplicação";"Código Elemento de Despesa";"Elemento de Despesa";"Código Plano Orçamentário";"Plano Orçamentário";"Código Programa Governo";"Nome Programa Governo"
"170600000012024NS000003";"2024NS000003";"02/01/2024";"NS";"Nota de Lançamento de Sistema";"25000";"Ministério da Fazenda";"25000";"Ministério da Fazenda - Unidades com víncul";"170600";"COORD.GERAL DE CONTROLE DA DIVIDA PUBLICA";"00001";"TESOURO NACIONAL";"RB0000003";"PAGAMENTO DA DIVIDA INTERNA";"PAGAMENTO SELIC - A.E0002/2024";"MU";"Múltiplo";"MU";"Múltiplo";"90";"Aplicações Diretas";"MU";"Múltiplo";"-1";"Sem informação";"-1";"Sem informação"
"170600000012024NS000002";"2024NS000002";"02/01/2024";"NS";"Nota de Lançamento de Sistema";"25000";"Ministério da Fazenda";"25000";"Ministério da Fazenda - Unidades com víncul";"170600";"COORD.GERAL DE CONTROLE DA DIVIDA PUBLICA";"00001";"TESOURO NACIONAL";"RB0000003";"PAGAMENTO DA DIVIDA INTERNA";"PAGAMENTO CETIP, CONFORME A.E0001/2024";"MU";"Múltiplo";"MU";"Múltiplo";"90";"Aplicações Diretas";"MU";"Múltiplo";"-1";"Sem informação";"-1";"Sem informação"
"155001152752024NS002528";"2024NS002528";"02/01/2024";"NS";"Nota de Lançamento de Sistema";"26000";"Ministério da Educação";"26294";"Hospital de Clínicas de Porto Alegre";"155001";"HOSPITAL DE CLINICAS DE PORTO ALEGRE";"15275";"HOSPITAL DE CLINICAS DE PORTO ALEGRE";"29175108000105";"HORN PRODUTOS HIGIENIZADOS E ALIMENTICIOS LTDA";"FORNECEDOR: 29.175.108/0001-05 - ROGERIO DALMORO ME - LIQUIDACAO DE DESPESA REF. A NF 15830, NR 1139415 R$ 2954.34 CCUSTO DE APLICACAO 44105, AF 152892/2";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Aplicações Diretas";"30";"Material de Consumo";"-1";"Sem informação";"-1";"Sem informação"
"155001152752024NS002527";"2024NS002527";"02/01/2024";"NS";"Nota de Lançamento de Sistema";"26000";"Ministério da Educação";"26294";"Hospital de Clínicas de Porto Alegre";"155001";"HOSPITAL DE CLINICAS DE PORTO ALEGRE";"15275";"HOSPITAL DE CLINICAS DE PORTO ALEGRE";"29175108000105";"HORN PRODUTOS HIGIENIZADOS E ALIMENTICIOS LTDA";"FORNECEDOR: 29.175.108/0001-05 - ROGERIO DALMORO ME - LIQUIDACAO DE DESPESA REF. A NF 15817, NR 1139414 R$ 2150.73 CCUSTO DE APLICACAO 44105, AF 152892/2";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Aplicações Diretas";"30";"Material de Consumo";"-1";"Sem informação";"-1";"Sem informação"
"155001152752024NS001322";"2024NS001322";"02/01/2024";"NS";"Nota de Lançamento de Sistema";"26000";"Ministério da Educação";"26294";"Hospital de Clínicas de Porto Alegre";"155001";"HOSPITAL DE CLINICAS DE PORTO ALEGRE";"15275";"HOSPITAL DE CLINICAS DE PORTO ALEGRE";"29175108000105";"HORN PRODUTOS HIGIENIZADOS E ALIMENTICIOS LTDA";"FORNECEDOR: 29.175.108/0001-05 - ROGERIO DALMORO ME - LIQUIDACAO DE DESPESA REF. A NF 15810, NR 1139096 R$ 1715.77 CCUSTO DE APLICACAO 44105, AF 152892/2";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Aplicações Diretas";"30";"Material de Consumo";"-1";"Sem informação";"-1";"Sem informação"
"155001152752024NS001726";"2024NS001726";"02/01/2024";"NS";"Nota de Lançamento de Sistema";"26000";"Ministério da Educação";"26294";"Hospital de Clínicas de Porto Alegre";"155001";"HOSPITAL DE CLINICAS DE PORTO ALEGRE";"15275";"HOSPITAL DE CLINICAS DE PORTO ALEGRE";"13333090000184";"NIPRO MEDICAL CORPORATION PRODUTOS MEDICOS LTDA.";"FORNECEDOR: 13.333.090/0001-84 - NIPRO MEDICAL CORPORATION PRODUTOS MEDICOS LTDA - LIQUIDACAO DE DESPESA REF. A NF 27257, NR 1139142 R$ 2493.2 CCUSTO DE APLICACAO 44300, AF 151623/1";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Aplicações Diretas";"30";"Material de Consumo";"-1";"Sem informação";"-1";"Sem informação"
"155001152752024NS001392";"2024NS001392";"02/01/2024";"NS";"Nota de Lançamento de Sistema";"26000";"Ministério da Educação";"26294";"Hospital de Clínicas de Porto Alegre";"155001";"HOSPITAL DE CLINICAS DE PORTO ALEGRE";"15275";"HOSPITAL DE CLINICAS DE PORTO ALEGRE";"13333090000184";"NIPRO MEDICAL CORPORATION PRODUTOS MEDICOS LTDA.";"FORNECEDOR: 13.333.090/0001-84 - NIPRO MEDICAL CORPORATION PRODUTOS MEDICOS LTDA - LIQUIDACAO DE DESPESA REF. A NF 27145, NR 1139197 R$ 2421.6 CCUSTO DE APLICACAO 44300, AF 151623/1";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Aplicações Diretas";"30";"Material de Consumo";"-1";"Sem informação";"-1";"Sem informação"
"155001152752024NS001847";"2024NS001847";"02/01/2024";"NS";"Nota de Lançamento de Sistema";"26000";"Ministério da Educação";"26294";"Hospital de Clínicas de Porto Alegre";"155001";"HOSPITAL DE CLINICAS DE PORTO ALEGRE";"15275";"HOSPITAL DE CLINICAS DE PORTO ALEGRE";"00331788002758";"AIR LIQUIDE BRASIL LTDA";"FORNECEDOR: 00.331.788/0027-58 - AIR LIQUIDE BRASIL LTDA - LIQUIDACAO DE DESPESA REF. A NF 326632, NR 1139495 R$ 3468.27 CCUSTO DE APLICACAO 44300, AF 141399/2 E NR 1139502 R$ 1141.87 CCUSTO DE APLICACAO 44300, AF 141399/3";"MU";"Múltiplo";"MU";"Múltiplo";"MU";"Múltiplo";"MU";"Múltiplo";"-1";"Sem informação";"-1";"Sem informação"
"155001152752024NS001342";"2024NS001342";"02/01/2024";"NS";"Nota de Lançamento de Sistema";"26000";"Ministério da Educação";"26294";"Hospital de Clínicas de Porto Alegre";"155001";"HOSPITAL DE CLINICAS DE PORTO ALEGRE";"15275";"HOSPITAL DE CLINICAS DE PORTO ALEGRE";"07315073000111";"DAISY VARGAS TEIXEIRA FERRAGENS";"FORNECEDOR: 07.315.073/0001-11 - DAISY VARGAS TEIXEIRA FERRAGENS - LIQUIDACAO DE DESPESA REF. A NF 4729, NR 1139154 R$ 615.6 CCUSTO DE APLICACAO 44300, AF 151141/1";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Aplicações Diretas";"30";"Material de Consumo";"-1";"Sem informação";"-1";"Sem informação"
"155001152752024NS001330";"2024NS001330";"02/01/2024";"NS";"Nota de Lançamento de Sistema";"26000";"Ministério da Educação";"26294";"Hospital de Clínicas de Porto Alegre";"155001";"HOSPITAL DE CLINICAS DE PORTO ALEGRE";"15275";"HOSPITAL DE CLINICAS DE PORTO ALEGRE";"07315073000111";"DAISY VARGAS TEIXEIRA FERRAGENS";"FORNECEDOR: 07.315.073/0001-11 - DAISY VARGAS TEIXEIRA FERRAGENS - LIQUIDACAO DE DESPESA REF. A NF 4751, NR 1139117 R$ 108 CCUSTO DE APLICACAO 44105, AF 152038/5";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Aplicações Diretas";"30";"Material de Consumo";"-1";"Sem informação";"-1";"Sem informação"
"155019264432024NS000210";"2024NS000210";"02/01/2024";"NS";"Nota de Lançamento de Sistema";"26000";"Ministério da Educação";"26443";"Empresa Brasileira de Serviços Hospitalares";"155019";"HOSPITAL UNIVERSITARIO JULIO MULLER";"26443";"EMPRESA BRASILEIRA DE SERVICOS HOSPITALARES";"19378769005305";"INSTITUTO HERMES PARDINI S/A";"APROPRIACAO PELA AQUISICAO DE SERVICOS DE APOIO DIAGNOSTICOS CONFORME NFSE 225241, COMPETENCIA 12/23 , PROC. SEI 23532.000007/2024-02.";"MU";"Múltiplo";"MU";"Múltiplo";"MU";"Múltiplo";"MU";"Múltiplo";"-1";"Sem informação";"-1";"Sem informação"
"366003362102024NS001418";"2024NS001418";"02/01/2024";"NS";"Nota de Lançamento de Sistema";"36000";"Ministério da Saúde";"36210";"Hospital Nossa Senhora da Conceição S.A.";"366003";"HOSPITAL NOSSA SENHORA DA CONCEICAO S/A";"36210";"HOSPITAL NOSSA SENHORA DA CONCEICAO S/A";"49324221002077";"FRESENIUS KABI BRASIL LTDA.";"NF 55619 MEDICAMENTOS HNSC, SEST D331 SEST D331 DOC. 02/01/2024";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Aplicações Diretas";"30";"Material de Consumo";"0003";"CUSTEIO DAS UNIDADES DO GRUPO HOSPITALAR CONCEICAO";"00";"Sem informação"
